utterances,true_ltl,output_ltl,is_correct
go to a then b,F & a F b, F & a F b ,True
move to a then move to b,F & a F b, F & a F b ,True
after you have been to a make your way to b,F & a F b, F & a F b ,True
reach a,F a, F a ,True
go to a then go to b or go to b then go to a,& F a F b, F & a F b ,False
do not visit h until you visit d visit d only once do not visit d until you visit c visit c only once do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h, & & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b U ! b U ! b U c U c U c U c U c U !c d U ! d,Syntax Error
do not visit d until you visit c visit c only once do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U !a b & U ! b U b U !b c U ! c U c U !c d, & & U ! b a & U ! c b & U ! d c & U ! h d F h ,Syntax Error
reach a exactly once while staying away from b then move to b,& & U ! b a F b U ! a U a U !a b, & & U ! b a F b U ! a U a U !a b ,True
do not stop going to a,G F a, G F a ,True
make sure a and b are visited infinitely,& G F a G F b, & F a F b ,False
keep visiting a and b in any order,& G F a G F b, & G F a G F b ,True
dont stop visiting a,G F a, G F a ,True
make sure you frequent a and b equally or at most one time in difference,& & F a F b & G i a W a & ! a W ! a b G i b W b & ! b W ! b a, & & F a F b & G i a W a & ! a W ! a b G i,Syntax Error
visit a then b then c then d and then h visit each landmark only once,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h, & & U ! b a & U ! c b & U ! d c F d & U ! a,Syntax Error
eventually reach a and b,& F a F b, & F a F b ,True
keep visiting a,G F a, G F a ,True
eventually you must go to a,F a, F a ,True
head to a first and then to b but dont visit b if you havent been to a,& U ! b a F b, F & a F & b F & U ! a U a U !a b ,Syntax Error
do not stop visiting a,G F a, G F a ,True
you must visit a first before going to b,& U ! b a F b, & U ! b a F b ,True
reach a and b in an arbitrary order and make sure to visit one of them at most once more than the other,& & F a F b & G i a W a & ! a W ! a b G i b W b & ! b W ! b a, & & F a F b & G i a W a & ! a W ! a b G i b W b & ! b W !,Syntax Error
head to a,F a, F a ,True
go to b but do not go to b until you go to a first,& U ! b a F b, & U ! b a F b ,True
go to four locations a b d and c,& F a & F b & F c F d, & F a & F b & F c F d ,True
go to a and then go to b and then go to c,F & a F & b F c, F & a F & b F c ,True
go to a,F a, F a ,True
visit a and visit b only if a is visited,& U ! b a F b, & U ! b a F b ,True
go to a but keep avoiding b and once you have been to a go to b,& U ! b a F b, & U ! b a F b ,True
visit a and visit b after a is visited,F & a F b, & F a F b ,False
go to a an infinite number of times,G F a, & G F a G F b ,False
in some sequence visit a b and c in that order,F & a F & b F c, F & a F & b F c ,True
after you visit a go to b,F & a F b, F & a F b ,True
go to a exactly once while avoiding b then go to b,& & U ! b a F b U ! a U a U !a b, & & U ! b a F b U ! a U a U !a b ,True
pick one from a and b go there and then head to the other one,& F a F b, & & F a F b & G i a W a & ! a W ! a b G i,Syntax Error
visit a b and c in order but keep avoiding latter ones when you are heading to former ones,& U ! b a & U ! c b F c, & U ! b a & U ! c b F c ,True
navigate to a exactly once while staying away from b then you can go to b,& & U ! b a F b U ! a U a U !a b, & & U ! b a F b U ! a U a U !a b ,True
reach a,F a, F a ,True
go to a,F a, F a ,True
go to a and b in arbitrary order,& F a F b, & F a F b ,True
do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once,& & U ! b a & U ! c b F c & U ! a U a U !a b U ! b U b U !b c, & & U ! b a & U ! c b & U ! d c F d ,Syntax Error
eventually go visit a b h d and c,& F a & F b & F c & F d F h, & F a & F b & F c & F d F h ,True
dont visit b before you visit a and then go to b without revisiting a,& & U ! b a F b U ! a U a U !a b, & U ! b a F b ,False
